@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric
@attribute outputs-11 numeric
@attribute outputs-12 numeric
@attribute outputs-13 numeric
@attribute outputs-14 numeric

@data
3905,'2017/06/28 12:14:12:378',68,0,1023,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3906,'2017/06/28 12:14:12:395',68,0,1023,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3907,'2017/06/28 12:14:12:413',68,0,1023,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3908,'2017/06/28 12:14:12:429',68,0,1023,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3909,'2017/06/28 12:14:12:445',68,0,1023,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3910,'2017/06/28 12:14:12:461',68,0,1023,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3911,'2017/06/28 12:14:12:479',68,0,1023,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3912,'2017/06/28 12:14:12:496',68,0,1023,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3913,'2017/06/28 12:14:12:512',68,0,1023,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3914,'2017/06/28 12:14:12:530',68,0,1023,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3915,'2017/06/28 12:14:12:546',68,0,1023,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3916,'2017/06/28 12:14:12:562',68,0,1023,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3917,'2017/06/28 12:14:12:578',68,0,1023,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3918,'2017/06/28 12:14:12:594',68,0,1023,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3919,'2017/06/28 12:14:12:612',68,0,1023,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3920,'2017/06/28 12:14:12:628',68,0,1023,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3921,'2017/06/28 12:14:12:645',68,0,1023,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3922,'2017/06/28 12:14:12:661',68,0,1023,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3923,'2017/06/28 12:14:12:679',68,0,1023,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3924,'2017/06/28 12:14:12:694',68,0,1023,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3925,'2017/06/28 12:14:12:712',68,0,1023,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3926,'2017/06/28 12:14:12:728',68,0,1023,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3927,'2017/06/28 12:14:12:746',68,0,1023,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3928,'2017/06/28 12:14:12:763',68,0,1023,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3929,'2017/06/28 12:14:12:778',68,0,1023,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3930,'2017/06/28 12:14:12:795',68,0,1023,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3931,'2017/06/28 12:14:12:813',68,0,1023,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3932,'2017/06/28 12:14:12:828',68,0,1023,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3933,'2017/06/28 12:14:12:844',68,0,1023,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3934,'2017/06/28 12:14:12:862',68,0,1023,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3935,'2017/06/28 12:14:12:879',68,0,1023,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3936,'2017/06/28 12:14:12:895',68,0,1023,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3937,'2017/06/28 12:14:12:911',68,0,1023,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3938,'2017/06/28 12:14:12:928',68,0,1023,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3939,'2017/06/28 12:14:12:945',68,0,1023,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3940,'2017/06/28 12:14:12:962',68,0,1023,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3941,'2017/06/28 12:14:12:979',68,0,1023,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3942,'2017/06/28 12:14:12:995',68,0,1023,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3943,'2017/06/28 12:14:13:011',68,0,1023,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3944,'2017/06/28 12:14:13:029',68,0,1023,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3945,'2017/06/28 12:14:13:045',68,0,1023,0,0,0,0,0,1,0,0,0,0,0,0,0,0
